Attribute,Time stamp,w,x,y,z 
Quaternion,320995,0.7100366353988647,0.08690972626209259,-0.024983834475278854,-0.6983342170715332
Quaternion,321000,0.713405191898346,0.08685638010501862,-0.024488985538482666,-0.6949169635772705
Quaternion,321005,0.7168296575546265,0.08675957471132278,-0.024206411093473434,-0.6914057731628418
Quaternion,321011,0.7202907204627991,0.08668413758277893,-0.024033278226852417,-0.6878151297569275
Quaternion,321015,0.7237776517868042,0.08662010729312897,-0.023937920108437538,-0.6841562986373901
Quaternion,321021,0.72727370262146,0.08650632202625275,-0.023856472223997116,-0.6804561018943787
Quaternion,321025,0.730786144733429,0.08625578135251999,-0.023680487647652626,-0.6767206788063049
Quaternion,321031,0.7343189716339111,0.08585415780544281,-0.023358434438705444,-0.6729481220245361
Quaternion,321035,0.7378606200218201,0.08530063182115555,-0.022910648956894875,-0.6691492795944214
Quaternion,321040,0.7414034605026245,0.08453797549009323,-0.02243608981370926,-0.6653352379798889
Quaternion,321046,0.7449517846107483,0.0835503563284874,-0.02195018157362938,-0.6615015268325806
Quaternion,321050,0.7485155463218689,0.08244694024324417,-0.021348949521780014,-0.6576255559921265
Quaternion,321055,0.7521371245384216,0.08130611479282379,-0.02059071883559227,-0.6536474823951721
Quaternion,321060,0.7558498382568359,0.080131396651268,-0.019729008898139,-0.6495234966278076
Quaternion,321065,0.7596619725227356,0.07889591157436371,-0.01880967989563942,-0.6452406048774719
Quaternion,321072,0.7635796070098877,0.07758866995573044,-0.01791401579976082,-0.6407848596572876
Quaternion,321075,0.7675881385803223,0.07622842490673065,-0.017095202580094337,-0.6361647248268127
Quaternion,321081,0.7716615796089172,0.07490148395299911,-0.016334831714630127,-0.6313963532447815
Quaternion,321085,0.7757502794265747,0.07368811219930649,-0.015629611909389496,-0.6265279054641724
Quaternion,321090,0.7798243165016174,0.07268532365560532,-0.014928351156413555,-0.6215851902961731
Quaternion,321096,0.7838566899299622,0.07204298675060272,-0.014163038693368435,-0.6165856719017029
Quaternion,321100,0.7878223061561584,0.07180971652269363,-0.013328803703188896,-0.6115568280220032
Quaternion,321105,0.7917131185531616,0.07193729281425476,-0.01246967539191246,-0.6065145134925842
Quaternion,321110,0.7955290079116821,0.07231572270393372,-0.0115736685693264,-0.601473331451416
Quaternion,321115,0.7992856502532959,0.07270392775535583,-0.010667659342288971,-0.5964418053627014
Quaternion,321122,0.8030093908309937,0.07299581170082092,-0.00981053151190281,-0.591397762298584
Quaternion,321125,0.8067077994346619,0.07319912314414978,-0.008825222961604595,-0.5863330364227295
Quaternion,321131,0.8103434443473816,0.07313485443592072,-0.0077372957020998,-0.5813218355178833
Quaternion,321135,0.8139762878417969,0.0727086067199707,-0.006669587455689907,-0.5762912034988403
Quaternion,321140,0.8176597356796265,0.07185648381710052,-0.005825194530189037,-0.5711702108383179
Quaternion,321146,0.8214070796966553,0.07039829343557358,-0.005360960960388184,-0.5659554600715637
Quaternion,321150,0.8251737952232361,0.06842979788780212,-0.005079157650470734,-0.5606959462165833
Quaternion,321155,0.8288739919662476,0.06638931483030319,-0.0044845035299658775,-0.5554640293121338
Quaternion,321160,0.8325844407081604,0.06445175409317017,-0.003343496471643448,-0.5501253604888916
Quaternion,321165,0.8361785411834717,0.062280572950839996,-0.0024537043645977974,-0.5449040532112122
Quaternion,321170,0.8397068381309509,0.06001535803079605,-0.001893855631351471,-0.5397101044654846
Quaternion,321175,0.8431851267814636,0.05775325745344162,-0.001389961689710617,-0.534510612487793
Quaternion,321181,0.8466330170631409,0.05545392259955406,-0.0007889624685049057,-0.5292795300483704
Quaternion,321185,0.8500855565071106,0.05277922376990318,-0.0006086966022849083,-0.5239928364753723
Quaternion,321191,0.8536495566368103,0.04980325698852539,-0.0011154226958751678,-0.5184599757194519
Quaternion,321195,0.8572998046875,0.04716108366847038,-0.0016476614400744438,-0.5126501321792603
Quaternion,321200,0.8609824776649475,0.045252297073602676,-0.0017308210954070091,-0.5066146850585938
